1,183,00:00:07.320,7.32,0.84
2,204,00:00:08.160,8.16,0.6
3,219,00:00:08.760,8.76,1.24
4,250,00:00:10.000,10.0,0.8
5,270,00:00:10.800,10.8,0.76
6,289,00:00:11.560,11.56,0.92
7,312,00:00:12.480,12.48,0.84
8,333,00:00:13.320,13.32,1.64
9,374,00:00:14.960,14.96,0.6
10,389,00:00:15.560,15.56,0.6
11,404,00:00:16.160,16.16,0.76
12,423,00:00:16.920,16.92,1.08
13,450,00:00:18.000,18.0,1.0
14,475,00:00:19.000,19.0,1.2
15,505,00:00:20.200,20.2,1.0
16,530,00:00:21.200,21.2,0.92
17,553,00:00:22.120,22.12,1.2
18,583,00:00:23.320,23.32,1.08
19,610,00:00:24.400,24.4,1.2
20,640,00:00:25.600,25.6,1.4
21,675,00:00:27.000,27.0,0.8
22,695,00:00:27.800,27.8,1.28
23,727,00:00:29.080,29.08,0.72
24,745,00:00:29.800,29.8,0.72
25,763,00:00:30.520,30.52,1.12
26,791,00:00:31.640,31.64,1.68
27,833,00:00:33.320,33.32,1.8
28,878,00:00:35.120,35.12,3.12
29,956,00:00:38.240,38.24,0.76
30,975,00:00:39.000,39.0,0.68
31,992,00:00:39.680,39.68,1.12
32,1020,00:00:40.800,40.8,0.88
33,1042,00:00:41.680,41.68,2.16
34,1096,00:00:43.840,43.84,1.4
35,1131,00:00:45.240,45.24,0.6
36,1146,00:00:45.840,45.84,0.72
37,1164,00:00:46.560,46.56,1.04
38,1190,00:00:47.600,47.6,0.72
39,1208,00:00:48.320,48.32,0.96
40,1232,00:00:49.280,49.28,1.44
41,1268,00:00:50.720,50.72,0.96
42,1292,00:00:51.680,51.68,0.68
43,1309,00:00:52.360,52.36,0.96
44,1333,00:00:53.320,53.32,1.08
45,1360,00:00:54.400,54.4,0.8
46,1380,00:00:55.200,55.2,0.64
47,1396,00:00:55.840,55.84,0.92
48,1419,00:00:56.760,56.76,0.84
49,1440,00:00:57.600,57.6,0.84
50,1461,00:00:58.440,58.44,1.16
51,1490,00:00:59.600,59.6,0.64
52,1506,00:01:00.240,60.24,1.36
53,1540,00:01:01.600,61.6,0.88
54,1562,00:01:02.480,62.48,1.24
55,1593,00:01:03.720,63.72,0.92
56,1616,00:01:04.640,64.64,1.12
57,1644,00:01:05.760,65.76,0.68
58,1661,00:01:06.440,66.44,1.08
59,1688,00:01:07.520,67.52,0.96
60,1712,00:01:08.480,68.48,0.68
61,1729,00:01:09.160,69.16,1.24
62,1760,00:01:10.400,70.4,0.96
63,1784,00:01:11.360,71.36,0.64
64,1800,00:01:12.000,72.0,1.44
65,1836,00:01:13.440,73.44,0.96
66,1860,00:01:14.400,74.4,0.92
67,1883,00:01:15.320,75.32,1.0
68,1908,00:01:16.320,76.32,1.2
69,1938,00:01:17.520,77.52,0.6
70,1953,00:01:18.120,78.12,0.88
71,1975,00:01:19.000,79.0,0.84
72,1996,00:01:19.840,79.84,0.72
73,2014,00:01:20.560,80.56,0.96
74,2038,00:01:21.520,81.52,6.64
75,2204,00:01:28.160,88.16,17.36
76,2638,00:01:45.520,105.52,1.28
77,2670,00:01:46.800,106.8,1.24
78,2701,00:01:48.040,108.04,3.8
79,2796,00:01:51.840,111.84,2.88
80,2868,00:01:54.720,114.72,1.96
81,2917,00:01:56.680,116.68,2.36
82,2976,00:01:59.040,119.04,1.6
83,3016,00:02:00.640,120.64,0.6
84,3031,00:02:01.240,121.24,0.92
85,3054,00:02:02.160,122.16,0.68
86,3071,00:02:02.840,122.84,0.6
87,3086,00:02:03.440,123.44,0.92
88,3109,00:02:04.360,124.36,0.84
89,3130,00:02:05.200,125.2,1.12
90,3158,00:02:06.320,126.32,2.24
91,3214,00:02:08.560,128.56,1.64
92,3255,00:02:10.200,130.2,2.44
93,3316,00:02:12.640,132.64,2.56
94,3380,00:02:15.200,135.2,2.84
95,3451,00:02:18.040,138.04,0.6
96,3466,00:02:18.640,138.64,1.48
97,3503,00:02:20.120,140.12,0.64
98,3519,00:02:20.760,140.76,0.64
99,3535,00:02:21.400,141.4,1.88
100,3582,00:02:23.280,143.28,0.6
101,3597,00:02:23.880,143.88,1.12
102,3625,00:02:25.000,145.0,3.24
103,3706,00:02:28.240,148.24,3.96
104,3805,00:02:32.200,152.2,1.64
105,3846,00:02:33.840,153.84,1.48
106,3883,00:02:35.320,155.32,0.88
107,3905,00:02:36.200,156.2,1.52
108,3943,00:02:37.720,157.72,2.04
109,3994,00:02:39.760,159.76,2.2
110,4049,00:02:41.960,161.96,2.84
111,4120,00:02:44.800,164.8,2.12
112,4173,00:02:46.920,166.92,0.6
113,4188,00:02:47.520,167.52,1.24
114,4219,00:02:48.760,168.76,1.04
115,4245,00:02:49.800,169.8,1.24
116,4276,00:02:51.040,171.04,1.72
117,4319,00:02:52.760,172.76,1.4
118,4354,00:02:54.160,174.16,0.68
119,4371,00:02:54.840,174.84,0.6
120,4386,00:02:55.440,175.44,1.36
121,4420,00:02:56.800,176.8,1.16
122,4449,00:02:57.960,177.96,2.44
123,4510,00:03:00.400,180.4,1.72
124,4553,00:03:02.120,182.12,1.44
125,4589,00:03:03.560,183.56,1.96
126,4638,00:03:05.520,185.52,4.16
127,4742,00:03:09.680,189.68,1.72
128,4785,00:03:11.400,191.4,0.64
129,4801,00:03:12.040,192.04,0.8
130,4821,00:03:12.840,192.84,1.36
131,4855,00:03:14.200,194.2,1.08
132,4882,00:03:15.280,195.28,0.6
133,4897,00:03:15.880,195.88,0.6
134,4912,00:03:16.480,196.48,0.6
135,4927,00:03:17.080,197.08,0.92
136,4950,00:03:18.000,198.0,1.64
137,4991,00:03:19.640,199.64,0.6
138,5006,00:03:20.240,200.24,0.6
139,5021,00:03:20.840,200.84,1.16
140,5050,00:03:22.000,202.0,0.88
141,5072,00:03:22.880,202.88,1.12
142,5100,00:03:24.000,204.0,1.44
143,5136,00:03:25.440,205.44,3.4
144,5221,00:03:28.840,208.84,1.4
145,5256,00:03:30.240,210.24,2.68
146,5323,00:03:32.920,212.92,0.88
147,5345,00:03:33.800,213.8,0.84
148,5366,00:03:34.640,214.64,0.6
149,5381,00:03:35.240,215.24,1.08
150,5408,00:03:36.320,216.32,1.52
151,5446,00:03:37.840,217.84,3.12
152,5524,00:03:40.960,220.96,3.76
153,5618,00:03:44.720,224.72,1.48
154,5655,00:03:46.200,226.2,1.64
155,5696,00:03:47.840,227.84,1.84
156,5742,00:03:49.680,229.68,1.0
157,5767,00:03:50.680,230.68,1.4
158,5802,00:03:52.080,232.08,0.6
159,5817,00:03:52.680,232.68,1.08
160,5844,00:03:53.760,233.76,0.96
161,5868,00:03:54.720,234.72,2.72
162,5936,00:03:57.440,237.44,1.44
163,5972,00:03:58.880,238.88,0.8
164,5992,00:03:59.680,239.68,1.0
165,6017,00:04:00.680,240.68,2.64
166,6083,00:04:03.320,243.32,0.76
167,6102,00:04:04.080,244.08,1.08
168,6129,00:04:05.160,245.16,1.56
